OBJECTID,Visual Check,Latitude Decimal Degree,Latitude Degree,Latitude Minute,Latitude Second,Longitude Decimal Degree,Longitude Degree,Longitude Minute,Longitude Second,FAA Code,FSS Frequency,Tone L,Tone N,Elevation (FT MSL),Elevation Place,Facility Name,Facility Street Address,Facility City,Facility Zip Code,Telephone,Nearest Airport,Miles to Nearest Airport,Bearing to Airport,Nearest Jet-A Fuel,Facility Description,Landing Zone Description,Obstacles-Hazards,Comments,Center Frequency,Notice to Airment 1 ,Notice to Airmen 2,Notice to Airmen 3,Notice to Airmen 4,Notice to Airmen 5,Distance to Jet=A (Miles),City Center,Date Updated (UTC),Rest Service Last Updated(UTC),REST_UTC_OFFSET,GLOBALID
10180,1,41.02763972,41,1,39.503,-93.30250028,93,18,9.001,IA19,122.4,,0,1049,G,Lucas County Health Center,1200 North 7th Street,Chariton,50049,641-774-3211,CNC,2.99,259.3,CNC,1 story brick N end of town,lighted helipad W side of hospital,,,118.15,,,,,,2.99,Chicago,"12/14/2016, 6:18 AM","12/13/2019, 7:41 AM",-06:00,ac44c1e7-c1a8-412e-8309-345b8c0074ba
10220,,40.75185056,40,45,6.662,-95.36934528,95,22,9.643,23IA,122.2,,0,1039,G,Shenandoah Memorial,300 Pershing Avenue,Shenandoah,51601,712-246-1230,SDA,2.1,265.2,SDA,,Under Construction (Entered 12/15/16),,Land at Aiport for patient transport.,119.6,,,,,,2.1,Minneapolis,"12/16/2016, 6:56 AM","12/13/2019, 7:41 AM",-06:00,94d7ed91-42b4-4041-a477-9157ec19030a
10262,1,42.49693333,42,29,48.96,-90.68601278,90,41,9.646,2IA1,122.05,,0,900,N,Finley Hospital,350 North Grandview Avenue,Dubuque,52001,563-582-1881,DBQ,6.47,188.2,DBQ,"4 story brown brick, center part of town",black top E side of hospital,power lines N; marked with aircraft balls,,133.95,,,,,,6.47,Chicago,"12/14/2016, 10:13 AM","12/13/2019, 7:41 AM",-06:00,ea76f88c-077a-4490-9bab-f9942a938f55
10206,1,41.56242278,41,33,44.722,-95.88621722,95,53,10.382,41,,,,1019,G,Alegent Community Memorial,631 North 8th Street,Missouri Valley,51555,712-642-2784,CBF,21.67,161,CBF,,landing pad SW of hospital; tree line to W; building to E; windsock on top of building,lighted radio tower on top and center of main building,radio call sign WZN371 frequencies 155.235 - 155.340,,,,,,,21.67,,"8/1/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,4c36d255-79f9-411d-8c5d-ea598d30577d
10225,1,41.28978917,41,17,23.241,-91.68649583,91,41,11.385,3IA0,122.65,,0,760,G,Washington County,"400 East Polk Street, Box 909",Washington,52533,319-653-5481,AWG,1.45,140.3,AWG,,,,,135.6,,,,,,1.45,Chicago,"12/16/2016, 7:40 AM","12/13/2019, 7:41 AM",-06:00,03c94914-8766-4467-9c81-312122078ba9
10264,1,42.74388056,42,44,37.97,-93.18709444,93,11,13.54,29,122.2,,0,1125,G,Franklin General,1720 Central Avenue East,Hampton,50441,641-456-5000,HPT,2.36,238.6,HPT,"1 story limestone, NE portion of town","blacktop parking lot with painted ""H"" on N side",antenna on top of the hospital,,134,,,,,,2.36,Minneapolis,"12/16/2016, 2:42 AM","12/13/2019, 7:41 AM",-06:00,6473c7ac-1f07-4bdb-87ac-cecdf613981f
10288,1,42.00544444,42,0,19.6,-93.43719167,93,26,13.89,1IA5,122.2,,0,1008,G,Story County,640 South 19th Street,Nevada,50201,515-382-2111,AMW,8.9,258.06,AMW,"SE side of town, S of Hwy 30",Concrete pad N side of hospital.,,hospital is latex free; hospital will provide gloves upon arrival,0,,,,,,8.9,,"12/16/2016, 5:52 AM","12/13/2019, 7:41 AM",-06:00,dd791aaa-21ac-447f-b953-e49fbacea3c0
10240,,41.29212583,41,17,31.653,-93.43719389,93,26,13.898,63,,,,964,G,Landing Zone,,Milo,,,OXV,16.88,87.27,OXV,,,,,,,,,,,16.88,,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,3664f3c6-cf18-4c9c-898f-0714fece583a
10204,,41.80665556,41,48,23.96,-92.07084167,92,4,15.03,38,0,,0,735,G,Marengo Memorial,"300 West May Street, Box 228",Marengo,52301,319-642-5543,TZT,12.46,298,CID,,"hospital pad closed 6/2016 for approximately 18 mos. for construction. USE TEMPORARY LZ at above coordinates, N of hospital; S of resevoir. Contact hospital to arrange ground LZ control.",,,132.8,,,,,,29,Chicago,"10/11/2016, 11:19 AM","12/13/2019, 7:41 AM",-06:00,c0edb709-3741-42af-8ec6-9d4f8976d237
10233,,43.18338556,43,11,0.188,-95.4875925,95,29,15.333,5IA9,122.45,,0,1474,G,Hartley Community Memorial,Eighth Avenue West,Hartley,51346,712-728-2428,SPW,13.47,93.17,SPW,1 story tan brick NW edge of town,grass area on NE side of hospital,,,127.75,,,,,,13.47,Minneapolis,"12/16/2016, 2:53 AM","12/13/2019, 7:41 AM",-06:00,1e62fb1b-9251-4692-be54-61ae71e81006
10209,,41.43346667,41,26,0.48,-91.05434722,91,3,15.65,8IA0,122.2,,0,647,R,Trinity Muscatine,1518 Mulberry Avenue,Muscatine,52761,563-264-9100,MUT,6.44,224.9,MUT,,Rooftop pad on N end of hospital. No standard markings. Wire grating pad surface. Windsock on roof S of pad,Metal handrail on SE side of pad. Rising terrain/trees N of hospital. Multiple tall antennas to the W.,,118.75,,,,,,6.44,Chicago,"12/16/2016, 5:46 AM","12/13/2019, 7:41 AM",-06:00,51fc639f-2be7-4b80-a921-1033e0433a70
9984,1,41.71483944,41,42,53.422,-94.93773611,94,56,15.85,0IA2,122.65,,0,1320,G,Audubon County Memorial,515 S. Pacific Avenue,Audubon,50025,712-563-2611,ADU,1.29,138.4,AIO,2 Blocks W of Main N/S highway,South end of hospital,Garage NW of hospital. High voltage cables East,,119.6,,,,,,22.03,Minneapolis,"12/14/2016, 5:25 AM","12/13/2019, 7:41 AM",-06:00,cbba1241-413d-4614-ba6c-373e0248a21c
10276,1,40.40721472,40,24,25.973,-91.387945,91,23,16.602,3IA8,122.2,,,617,G,Keokuk Area,1600 Morgan Street,Keokuk,52632,319-524-7150,EOK,3.86,330.7,EOK,2 story brick SE center of town; 1 mile SE of 2 water tower,lighted helipad W side of hospital,,,135.525,,,,,,3.86,Kansas City,"8/24/2005, 11:27 AM","12/13/2019, 7:41 AM",-06:00,e6a2ce57-3a66-45e9-a44b-564de453d0c8
10216,1,43.42432306,43,25,27.563,-96.17158389,96,10,17.702,5IA8,122.2,,,1360,G,Merrill Pioneer Community,801 South Greene Street,Rock Rapids,51246,712-472-2591,RRQ,1.88,354.8,RRQ,,,,,132.05,,,,,,1.88,Minneapolis,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,5914172d-892b-4026-ae24-0e88896f33a4
10205,1,42.04965639,42,2,58.763,-92.9049475,92,54,17.811,6IA8,122.2,,,920,G,Marshalltown Memorial,3 South Fourth Avenue,Marshalltown,50158,641-754-5151,MIW,4.13,352.6,MIW,,,,,127.05,,,,,,4.13,Chicago,"7/30/2009, 8:00 PM","12/13/2019, 7:41 AM",-06:00,1d1db77d-3ebc-4b37-af4c-7e56528ae170
10284,1,42.79545,42,47,43.62,-96.15528889,96,9,19.04,34,122.2,,0,1231,G,Floyd Valley,714 Lincoln Street NE,Le Mars,51031,712-546-7871,LRJ,2.21,226.9,LRJ,1 story red brick on NE side of town,Concrete pad in parking lot S of hospital,,,124.1,,,,,,2.21,Minneapolis,"12/16/2016, 4:13 AM","12/13/2019, 7:41 AM",-06:00,f7a17e86-cd64-4bed-a5ec-196b94c6c4bc
10254,1,43.06334806,43,3,48.053,-92.32205167,92,19,19.386,44,122.2,,,1163,G,Mercy Medical Center - New Hampton,308 North Maple Avenue,New Hampton,50659,641-394-4121,1Y5,1.89,180,CCY,hospital NW part of town; flat brown building,helipad is marked,water tower NW of pad and grain elevator N of pad,notify Hampton County ambulance when flying into this hospital,,,,,,,14.58,,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,75951826-7fb6-4b03-92f0-ab5b4ece5951
10293,1,41.36856944,41,22,6.85,-93.55546667,93,33,19.68,62,122.65,,0,970,G,Mercy Indianola Medical Clinic,307 E Scenic Valley Ave,Indianola,50125,515-961-8448,DSM,12.71,336.44,DSM,Red brick 1 story building NE corner of town.,Concrete pad directly east behind the Hy-Vee.,Tall grain bin directly S of the helipad. Buildings on the E/W side.,best approach/departure is N/S.,125.65,,,,,,12.71,Minneapolis,"12/19/2016, 8:03 AM","12/13/2019, 7:41 AM",-06:00,5e31b477-b832-4d37-8e5c-26ed4f3cf393
10222,,42.60284056,42,36,10.226,-95.23886833,95,14,19.926,54,121.725,,0,1434,G,Buena Vista Regional Medical,"1525 West 5th Street, Box 309",Storm Lake,50588,712-732-4030,SLB,3.74,193.2,SLB,"2 story brick, NW corner of town, well lighted",land on the NW corner of hospital property,,use W parking lot with diversion to airport as needed,134,Helipad under construction. Use aiport to transport patient (Entered 12/16/16).,,,,,3.74,Minneapolis,"12/16/2016, 7:32 AM","12/13/2019, 7:41 AM",-06:00,2c35d5d6-49b6-4069-8bcf-5565aad6d53a
10286,1,40.71990556,40,43,11.66,-94.22236111,94,13,20.5,43,122.2,,0,1220,G,Ringgold County,504 North Cleveland Street,Mount Ayr,50854,641-464-3226,1Y3,0.68,174.54,CSQ,1 story brick building NE edge of town,marked helipad is N of hospital,,tone code for radio freq. Ia 103.5; phone number for repeater 641-464-3615,125.65,,,,,,21,Minneapolis,"12/16/2016, 5:43 AM","12/13/2019, 7:41 AM",-06:00,186e3f30-773d-4b14-b5ce-c5b6d4a060ee
10187,1,41.542575,41,32,33.27,-90.55597222,90,33,21.5,17,122.5,,0,673,G,Genesis East Medical Center,1227 East Rusholme Street,Davenport,52804,563-421-1000,DVN,4.69,341.3,DVN,,,,the LZ is located N of the one along NE corner of the hospital. There is a tall construction crane in the original LZ location. (12/3/15),118.75,,,,,,4.69,Chicago,"12/14/2016, 9:01 AM","12/13/2019, 7:41 AM",-06:00,bd449b1f-02fd-4139-99e5-163c8840969e
10280,1,42.02634444,42,1,34.84,-96.10625556,96,6,22.52,2IA8,122.2,,0,1049,G,Burgess Health Center,1600 Diamond Street,Onawa,51040,712-423-2311,K36,1.36,177.4,SUX,"W side of town. 1 mile E of Interstate 29, Just S of Hwy 175.",Concrete pad N side of hosiptal.,,,128,,,,,,29.39,Minneapolis,"12/16/2016, 6:06 AM","12/13/2019, 7:41 AM",-06:00,f9f80497-fa76-44d9-814b-601c0c42d5a5
10237,1,42.01648056,42,0,59.33,-94.38971278,94,23,22.966,3IA2,122.2,,,1050,G,Green County Medical Center,1000 West Lincoln Way,Jefferson,50129,515-386-2114,EFW,2.55,103.9,PRO,W side of town,"N side of hospital; marked with a red ""H""","trees, utility poles, 140ft tower N side hospital",,134,,,,,,17.37,Minneapolis,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,b07ff391-7cfd-4ea7-b800-879fa05fd4e0
10295,1,42.52011944,42,31,12.43,-96.40646111,96,24,23.26,6IA3,122.45,,0,1286,G,Saint Lukes Regional,2720 Stone Park Boulevard,Sioux City,51104,712-279-3500,SUX,8.19,172.2,SUX,,Concrete Pad Nw side of hospital.,,,128,,,,,,8.19,Minneapolis,"12/16/2016, 7:08 AM","12/13/2019, 7:41 AM",-06:00,86871141-6047-4e5e-9478-ca7780a4092d
10226,1,42.52548611,42,31,31.75,-92.33990278,92,20,23.65,IA29,122.2,,0,875,G,Allen Memorial,1825 Logan Avenue,Waterloo,50703,319-235-3941,ALO,3.67,301.5,ALO,,New landing pad is south of existing hospital,,has a datascope 90 Balloon pump,118.9,,,,,,3.67,Chicago,"12/16/2016, 7:43 AM","12/13/2019, 7:41 AM",-06:00,10e86bf3-8bff-4a4e-96f7-e997e5d8d0e1
10246,1,41.40038333,41,24,1.38,-94.98997222,94,59,23.9,IA67,122.3,,0,1239,G,Cass County Memorial,1501 East 10th Street,Atlantic,50022,712-243-3250,AIO,2.84,278.3,AIO,"2 story light brick; W of the SE W ""t"" intersection",Helipad SE of the hospital N of the golf course.,Wires directly S of pad; high terrain S of pad,,119.6,,,,,,2.84,Minneapolis,"12/14/2016, 5:22 AM","12/13/2019, 7:41 AM",-06:00,18122468-262c-4ffd-a96c-6555e4be93c8
10179,1,41.97786583,41,58,40.317,-91.65669444,91,39,24.1,IA72,122.55,,0,775,R,Mercy Medical Center,701 - 10th Street Southeast,Cedar Rapids,52403,319-398-6011,CID,7.05,203.7,CID,"10 story red brick in center of town, 10 blocks E of river",W side of main building on top of parking structure,Building tower N of pad,Best approach from the W or S.,132.8,Cedar Rapids North Approach 134.05 / South Approach 119.70,Contact Mercy Medical Center on 155.220 or 155.340,,,,7.05,Chicago,"12/14/2016, 6:04 AM","12/13/2019, 7:41 AM",-06:00,e828c78b-0e62-4a88-8514-226e2a111437
10252,1,42.47073694,42,28,14.653,-91.873375,91,52,24.15,31,122.2,,0,950,G,Buchanan County Health Center,1600 First Street East,Independence,50644,319-332-0999,IIB,3.64,251.5,IIB,1 story red brick on E side of town,pad NE corner of parking lot; E side of hospital,none,,118.9,,,,,,3.64,Chicago,"12/16/2016, 3:05 AM","12/13/2019, 7:41 AM",-06:00,601d8c56-de56-4c68-9778-155679fa7cc8
10274,1,41.32243056,41,19,20.75,-92.20671389,92,12,24.17,52,122.2,,0,741,G,Keokuk County Health Center,1312 South Stuart Street,Sigourney,52591,641-622-2720,OOA,16.06,245.03,OOA,New hospital S of town with helipad (4-20-10),,radio antenna with light; utility pole 100' N,,118.15,,,,,,16.06,Chicago,"12/16/2016, 6:59 AM","12/13/2019, 7:41 AM",-06:00,409e869f-37d5-4eb1-be25-47a9bab9212a
10249,1,40.75635278,40,45,22.87,-92.85683611,92,51,24.61,9,122.4,,0,915,G,Mercy Medical Center - Centerville,1 Old Hwy 5,Centerville,52544,641-437-4111,TVK,5.29,205.2,TVK,2 Miles N of Centerville on Highway 5,straight N of ER entrance; between ER and medical office building,"100' tower, 40' light pole",Hospital will secure landing area. Use 155.220 and dial 1553 to alert E.D.,118.15,,,,,,5.29,Chicago,"12/14/2016, 6:14 AM","12/13/2019, 7:41 AM",-06:00,1003e60d-d8e2-46d9-85f4-3703577de869
10182,1,41.86089139,41,51,39.209,-90.19035194,90,11,25.267,12,122.5,,0,636,N,Samaritan North,1410 North 4th Street,Clinton,52732,563-244-5555,CWI,7.67,253.6,CWI,,located SW of hospital,,,118.75,,,,,,7.67,Chicago,"12/14/2016, 8:50 AM","12/13/2019, 7:41 AM",-06:00,36c52bad-cbba-4370-9e2f-a9aa9fa90d6d
10203,1,42.07351111,42,4,24.64,-90.67376944,90,40,25.57,37,122.2,,0,704,G,Jackson County Regional Health Center,700 West Grove Street,Maquoketa,52060,563-652-2474,OQW,3.25,282,OQW,,Pad NW side of hospital,Tall electrical line poles N & W of pad,,133.95,,,,,,3.25,Chicago,"12/16/2016, 5:26 AM","12/13/2019, 7:41 AM",-06:00,11215892-a337-4205-9217-0e677a723232
10228,1,43.26798611,43,16,4.75,-91.47378333,91,28,25.62,58,122.2,,0,1250,G,Veteran's Memorial,40 First Street Southeast,Waukon,52172,563-568-3411,Y01,1,33.9,DEH,"Two story building located SE part of town, near golf course",use parking lot,numerous telephone lines in the area,,128.6,,,,,,13.34,Minneapolis,"12/16/2016, 7:44 AM","12/13/2019, 7:41 AM",-06:00,3c4f32ca-ed4b-4770-8bbe-b416201145ca
10189,1,41.61653333,41,36,59.52,-93.64053611,93,38,25.93,6IA4,122.65,,0,856,G,Broadlawns,1801 Hickman Road,Des Moines,50314,515-282-2200,DSM,5.78,188.2,DSM,,,,Contact DSM APP on 123.9,125.65,Extensive ongoing construction immediately nearby (entered 12-14-16),,,,,5.78,Minneapolis,"12/14/2016, 9:37 AM","12/13/2019, 7:41 AM",-06:00,29610bfe-852d-4db0-909f-17c71925e1b4
10177,1,40.81064333,40,48,38.316,-91.17388694,91,10,25.993,7,122.65,,,698,N,Great River Medical Center,1221 South Gear,West Burlington,52655,319-768-1000,BRL,2.95,130.7,BRL,4 story brick building - W side of town,,,"W side of town, W of highway 64 & S of highways 34 & 406",135.6,,,,,,2.95,Chicago,"5/3/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,974319b4-a05e-4367-9e3c-f953a3daed80
10241,1,41.22423778,41,13,27.256,-93.24058222,93,14,26.096,64,,,,945,G,Landing Zone,,Melcher-Dallas,,,OXV,8.19,53.74,OXV,,,,,,,,,,,8.19,,"8/21/2011, 8:00 PM","12/13/2019, 7:41 AM",-06:00,1e49f8e4-1c88-4e41-97dc-27bd0ab774b4
10267,1,43.09853611,43,5,54.73,-93.80732222,93,48,26.36,6,122.6,,0,1220,G,Hancock County Health System,532 - 1st St. NW,Britt,50423,641-843-5000,FXY,12.96,42,FXY,"NW part of town, three story patient wing",Next to 2nd street NW on north side of facility,Unmarked wires on N side of street (approximately 30'),Safest approach/departure path is East-West; point of contact at hospital is Curt Gast 641-843-5000 ext. 5166,134,,,,,,12.96,Minneapolis,"12/14/2016, 5:36 AM","12/13/2019, 7:41 AM",-06:00,78688b1b-1300-4594-8fbc-dfea03ffd85c
10289,1,40.73689444,40,44,12.82,-91.95736389,91,57,26.51,32,122.4,,0,582,G,Van Buren County Hospital,304 Franklin Street,Keosauqua,52565,319-293-3171,6K9,1.07,84.4,FFL,1 story red brick on N edge of town,NE side of hospital on concrete pad with 4 amber lights; 2 clear pad lights E & W activated manually for loading & unloading,power lines across stree to NW marked with balls,concrete walkway to ED entrance,135.6,,,,,,22.35,Chicago,"12/16/2016, 4:04 AM","12/13/2019, 7:41 AM",-06:00,b9299087-0af0-4bba-a85c-02f2db510deb
10250,1,41.59942222,41,35,57.92,-93.62403333,93,37,26.52,IA82,122.65,,0,945,R,Mercy Medical Center,1111 - 6th Avenue,Des Moines,50314,515-247-8711,DSM,4.69,200.9,DSM,"Town center, W of river, N of freeway",Primary pad is above ambulance entrance; secondary pad is W and across street from primary,"Lighted tower above hospital, tip 290 feet; lighted sign immediately N of secondary pad approx. 10' tall",best approach from N and W; secondary pad indicated on map; Mercy Public Safety personnel are required for all arrivals and departures; Mercy Commucations Center monitors 123.025 Mhz,125.65,Contact prior to arrival so Mercy helicopter can move for arriving helicopters,Contact DSM APP on 123.9,,,,4.69,Minneapolis,"12/14/2016, 9:46 AM","12/13/2019, 7:41 AM",-06:00,1bfe734a-b05c-4fbc-a820-9011061772eb
10215,1,43.0884375,43,5,18.375,-95.62407361,95,37,26.665,IA96,122.15,,0,1520,G,Baum-Harmon Memorial,255 North Welch Avenue,Primghar,51245,712-957-2300,2Y0,1,115.7,SHL,,Parking lot W side of building.,,,132.05,,,,,,13.76,Minneapolis,"12/16/2016, 6:47 AM","12/13/2019, 7:41 AM",-06:00,149fa1ae-a6c9-4311-8b4c-8aff0aea8fed
10202,1,41.90416667,41,54,15,-95.07427778,95,4,27.4,36,0,,0,1320,G,Manning Regional Healthcare,1550 6th Street,Manning,51455,712-655-2072,CIN,17.11,56,CIN,1 story building on west side of town S of Hwy 141.,Concrete pad on E side of hospital.,,,134,,,,,,17.11,Minneapolis,"12/16/2016, 5:24 AM","12/13/2019, 7:41 AM",-06:00,74d2c095-2b67-427e-823d-91c356da51c2
10290,1,41.02898778,41,1,44.356,-92.39139,92,23,29.004,3IA6,122.4,,0,845,G,Ottumwa Regional Health Center,1001 E. Pennsylvania Avenue,Ottumwa,52501,641-682-7511,OTM,5.96,332.5,OTM,NE side of town; 1/2 mile N or highway 34,W side of hospital,white & red water tower 3 blocks NW of hospital,,118.15,,,,,,5.96,Chicago,"12/16/2016, 6:29 AM","12/13/2019, 7:41 AM",-06:00,816b4904-a99f-4641-b0c8-232a6da16317
