lz_name,Helipad? 1/0,lz_city,lz_state,lz_zip,lz_type,added_time,update_time,lz_id,address1,address2,cap_trauma,cap_cardiac,cap_stroke,cap_ob,cap_burn,cap_ped,main_phone,ed_phone,icu_phone,ccu_phone,sec_phone,ed_contact,icu_contact,ccu_contact,sec_contact,sec_freq,ground_name,ground_phone,exterior,faa_nav_id,nav_id,comm_channel,awos,nav_freq,lat_dec,lon_dec,lz_desc,hazards,app_dep,dimensions,max_weight,surface,windsock,elevation,lighting,fuel,ifr,nav_id_alt,lat_dec_alt,lon_dec_alt,desc_alt,comments
Marshall Medical Center South,1,Boaz,AL,,Hospital,11/25/2013 17:43,11/25/2013 17:43,2812,8000 Alabama 69,,0,0,0,0,0,0,,,,,,,,,,,,,,,1AL0,,,,34.365169,-86.422956,Ground pad west of hospital.,BLDG 42 FT NORTH; PLINES 160 FT SOUTH; AND PLINES 150 FT EAST OF HELIPAD.,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
D.W. McMillian Memorial Hospital,1,Brewton,AL,36426,Hospital,11/25/2013 17:45,11/25/2013 17:45,2813,1301 Belleville Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,0AL6,,,,31.125664,-87.073472,Ground pad south of hospital north side of town.,100 FT WATER TANK 100 FT NORTH & 100 FT TOWER 400 FT NORTH OF HELIPAD.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
North Jackson Nursing Home,1,Bridgeport,AL,,Hospital,11/25/2013 17:54,11/25/2013 17:54,2814,,,0,0,0,0,0,0,,,,,,,,,,,,,,,10AL,,,,34.913842,-85.770806,Circular ground pad east of hospital. Located between Stevenson and Bridgeport NE of airport,Trees south and west of pad. Buildings north of pad,,65x65,,Concrete,Yes,,Yes,0,0,,0,0,,
Silcox Memorial Heliport,1,Citronelle,AL,,Scene,11/25/2013 17:59,11/25/2013 17:59,2815,,,0,0,0,0,0,0,,,,,,,,,,,,,,,35AL,,,,31.089597,-88.245075,Ground pad in open field west of town south of main E/W road,Trees all sides. Power lines west of pad,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
Cullman Regional Medical Center,1,Cullman,AL,35058,Hospital,11/25/2013 18:02,12/12/2013 13:13,2816,1912 Alabama HWY 157,,0,0,0,0,0,0,,,,,,,,,,,,,,,3AL9,,,,34.201983,-86.8065,Blue painted helipad north side of hospital. Hospital NE side of town.,Trees north of pad,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Lake Martin Community Hospital,1,Dadeville,AL,,Hospital,11/28/2013 23:13,11/28/2013 23:13,2834,201 Mariarden Rd,,0,0,0,0,0,0,,,,,,,,,,,,,,,5AL6,,,,32.818483,-85.741508,Ground pad west side of hospital. Hospital SE of town.,Tree line west side of pad. Power line and pole north of pad. Buildings east,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Decatur General Hospital,1,Decatur,AL,,Hospital,11/28/2013 23:18,4/1/2017 20:50,2836,1201 7th St South,,0,0,0,0,0,0,,,,,256-265-6660,,,,,,,,,,1AL1,,,,34.592089,-86.972125,Ground pad north of hospital west of parking garage south of school.,33 FT POLE 43 FT SE; 33 FT POLE 177 FT EAST SE; 18 FT BLDG 77 FT SW; AND 30 FT PLINES 133 FT NORTH OF HELIPAD.,,51x51,,Asphalt,Yes,,Yes,0,0,,0,0,,Ambulance ground transport required to and from ER.
Bryan W. Whitfield Memorial Hospital,1,Demopolis,AL,,Hospital,11/28/2013 23:24,2/21/2017 23:42,2837,929 US Hwy 80 E,,0,0,0,0,0,0,,,,,,,,,,,,,,AL14,AL14,,,,32.505706,-87.83635,Ground pad north side of hospital with Helipad Lights&#044; Windsock and Rotating Beacon on top of Hospital.,Trees north. Buildings west east and south of pad. Antenna south of pad on top of hospital.  Low wires north of pad.,Best approach heading:  South&#044; although NE and NW will work.,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,AE106&#039;s aircraft is normally parked on this hospital pad.  Area will only accommodate one aircraft at a time.
Southeast Alabama Medical Center,1,Dothan,AL,36301,Hospital,11/28/2013 23:36,11/28/2013 23:36,2841,1108 ROSS CLARK CIRCLE,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL20,,,,31.218122,-85.366853,Ground pad NW of hospital. Hospital on SE side of town off HWY 210/84 intersection,Power lines east of pad. Trees north and south. Buildings south and west of pad.,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
Flowers Hospital,1,Dothan,AL,36305,Hospital,11/28/2013 23:41,11/28/2013 23:41,2842,4370 W Main St,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL59,,,,31.237367,-85.454783,Blue painted circular helipad east of hospital. Hospital on NW side of town west of ball fields and theme park.,30'LGT POLE WITH WIND CONE 100'SSW OF PAD. Trees west side of pad.,,60x60,,Concrete,Yes,,Yes,0,0,,0,0,,
Evergreen Hospital,1,Evergreen,AL,36401,Hospital,11/28/2013 23:45,11/28/2013 23:45,2843,101 Crestview Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,0AL3,,,,31.430094,-86.940219,Ground pad south side of hospital. Hospital on east side of town west of school,25 FT PLINE 290 FT NE OF HELIPAD. Trees east and south. Power lines west of pad.,,24x24,,Concrete,Yes,,Yes,0,0,,0,0,,
Fayette Medical Center,1,Fayette,AL,,Hospital,11/28/2013 23:49,11/28/2013 23:49,2844,1653 Temple Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,3AL0,,,,33.709167,-87.823508,Ground pad NE of hospital. Hospital on north side of town.,45 FT TREES 125 FT W; 90 FT TREES 225 FT N; 60 FT TREES 300 FT E; 30 FT POWERLINE 300 FT ESE; 60 FT POWERLINE 300 FT SE; 30 FT POWERLINE 175 FT S & 129 FT ANTENNA 400 FT SW.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Flat Rock Community Club Heliport,1,Flat Rock,AL,35966,Scene,11/28/2013 23:55,11/28/2013 23:55,2845,COUNTY ROAD 326,,0,0,0,0,0,0,,,,,,,,,,,,,,,43AL,,,,34.769019,-85.696311,Ground pad south of road.,Trees south and east of pad. Power lines NE of pad. Buildings north and west,,30x30,,Concrete,,,,0,0,,0,0,,"Manager: 	JERRY WHEELER
43 COUNTY ROAD 99
FLAT ROCK, AL 35966
Phone 256-657-8401"
Eliza Coffee Memorial Hospital,0,Florence,AL,35630,Hospital,11/28/2013 23:59,4/28/2017 11:34,2846,205 S Marengo St,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL22,,,,34.793756,-87.683147,Circular rooftop helipad on west side of hospital. Hospital on SE side of town north of river. Roof top Helipad VERY SMALL,Elevated building east of pad. Rooftop exhaust vents in close proximity to the landing area on the South and SW sides of the pad. Surface of the pad is somewhat uneven.,,50x50,,Concrete,Yes,Top of the Hospital,Yes,0,0,,0,0,,
Foley Hospital,1,Foley,AL,36535,Hospital,11/29/2013 0:03,11/29/2013 0:03,2847,1613 N McKenzie St,,0,0,0,0,0,0,,,,,,,,,,,,,,,3AL4,,,,30.426664,-87.685114,Ground pad NW side of hospital.,Trees north of pad. Building south and east of pad. Fence around perimeter of pad.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Dekalb Regional Medical Center,1,Fort Payne,AL,,Hospital,11/29/2013 0:06,11/29/2013 0:06,2848,200 Medical Center Drive SW,,0,0,0,0,0,0,,,,,,,,,,,,,,,0AL4,,,,34.442083,-85.755753,Ground pad north of hospital. Hospital west of i59.,30 FT BLDG 150 FT SOUTH & 22 FT BLDG 200 FT SE OF HELIPAD.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Gadsden Regional Medical Center,1,Gadsden,AL,,Hospital,11/30/2013 9:18,11/30/2013 9:18,2850,1007 Goodyear Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,0AL7,,,,34.008361,-85.965167,Ground pad NE side of hospital. Hospital on east end of town east of factory and south of river.,Tall buildings south and SW of pad.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Wiregrass Hospital,1,Geneva,AL,36340,Hospital,11/30/2013 9:23,11/30/2013 9:23,2851,1200 WEST MAPLE AVE,,0,0,0,0,0,0,,,,,,,,,,,,,,,8AL9,,,,31.049744,-85.891994,Ground pad north side of hospital. Hospital on NW side of town.,Water tower due west of pad. Light poles along road north of pad. Buildings and wires south of pad.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
The Huntsville Hospital,1,Huntsville,AL,35801,Hospital,11/30/2013 9:30,12/21/2017 17:50,2852,101 Sivley Rd SW,,1,1,1,1,0,1,,,,,,,,,,,,,,,AL36,,,,34.721119,-86.580664,Rooftop pad in center of hospital. Hospital east side of town south of interstate and north of school,Buildings extend above pad west south and east. Antennas and rising terrain east of hospital.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Walker Regional Medical Center,1,Jasper,AL,,Hospital,11/30/2013 9:38,11/30/2013 9:38,2853,3400 U.S. 78,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL63,,,,33.844,-87.236664,Ground pad north side of hospital. Hospital on east end of town.,Power lines north of pad with marker balls. Trees west of pad. Buildings south and east. Light poles in parking lot. Perimeter fence around pad.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Lillian Community Heliport,1,Lillian,AL,36549,Scene,11/30/2013 21:37,11/30/2013 21:37,2854,34354 U.S. 98,,0,0,0,0,0,0,,,,,,,,,,,,,,,9AL6,,,,30.409697,-87.440736,Ground pad just west of river east side of building and south of roadway.,Trees all sides of pad. Buildings west side,N/S,50x30,,Concrete,Yes,,,0,0,,0,0,,"Manager: 	FIRE CHIEF LILLIAN FIRE DEPT
P.O. BOX 132
LILLIAN, AL 36549
Phone 251-961-7627
CONTACT; RUDY BAUGH 251-446-6024"
University of South Alabama Medical Center,1,Mobile,AL,36617,Hospital,11/30/2013 21:46,11/30/2013 21:46,2855,2451 Fillingim St,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL52,,,,30.707089,-88.097264,Ground pad east side of hospital.,"40' PLINES 300' SOUTH, 35' TREES 135' EAST. Buildings west and south of pad.",,60x60,,Concrete,Yes,,Yes,0,0,,0,0,,
Mc Intosh Community Heliport,1,Mc Intosh,AL,36553,Scene,11/30/2013 21:51,11/30/2013 21:51,2856,1379 Ciba Road,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL95,,,,31.273333,-88.012436,Dual ground pads NE side of town and SW of plant.,NO OPNS ARE CONDUCTED WITH A TAILWIND COMPONENT IN EXCESS OF 10 KTS; THE PINE TREES NW OF HELIPAD ARE CUT DOWN. Trees south and east of pad.,,50x50,,Concrete,Yes,,Yes 122.8 PCL,0,0,,0,0,,"BASF CORPORATION Phone 251-436-2000   
Manager: 	CHARLES MOYE
Phone 215-436-2000
EXT. 3187"
Providence Hospital,1,Mobile,AL,36608,Hospital,11/30/2013 21:55,11/30/2013 21:55,2857,6801 Airport Blvd,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL82,,,,30.679514,-88.200053,Circular ground pad west of hospital. Hospital east of airport.,100 FT POWER LINES WEST OF HELIPAD MKD WITH ORANGE BALLS. Buildings north and east of pad.,,50x50,,Asphalt,Yes,,Yes,0,0,,0,0,,
Monroe County Hospital,1,Monroeville,AL,,Hospital,11/30/2013 21:59,11/30/2013 21:59,2858,2016 S Alabama Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,1AL6,,,,31.498836,-87.320831,Elevated helipad north of hospital. Hospital on south side of town.,20 FT BLDG 100 FT WEST; 90 FT PLINES 190 FT NW OF HELIPAD.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Baptist Medical Center-South,1,Montgomery,AL,,Hospital,11/30/2013 22:08,12/9/2013 12:53,2859,2105 East South Boulevard,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL11,,,,32.327517,-86.276567,Elevated rooftop helipad SE side of hospital.,266 FT ELEVATOR TOWER 30 FT NORTH&#044; POWER LGTS S OF PAD&#044; MKD WITH ORANGE BALLS.,,45x45,,Mats,Yes,,Yes,0,0,,0,0,,
Baptist Medical Center-East,1,Montgomery,AL,,Hospital,11/30/2013 22:10,12/9/2013 12:26,2860,400 Taylor Road,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.37585,-86.176839,Ground pad west side of hospital. Pad located SW side of the parking lot.,Trees south of pad. Buildings east,,,,Asphalt,Yes,,Yes,0,0,,0,0,,
Lawrence County Hospital,1,Moulton,AL,35650,Hospital,11/30/2013 22:17,11/30/2013 22:17,2861,202 Hospital St,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL86,,,,34.484069,-87.284869,Ground pad north side of hospital in parking lot.,Power lines east of pad. Buildings all other side of pad. Trees NE of pad.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Shoals Hospital,1,Muscle Shoals,AL,,Hospital,11/30/2013 22:24,11/30/2013 22:24,2862,201 W Avalon Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL53,,,,34.747275,-87.677767,Red painted ground pad NW side of hospital.,75' PLINE 600' WEST OF PAD & 30' LIGHT POLES 50' N & E & W OF PAD.,,40x40,,Concrete,Yes,,Yes,0,0,,0,0,,
East Alabama Medical Center,1,Opelika,AL,36801,Hospital,11/30/2013 22:27,11/30/2013 22:27,2863,2000 Pepperell Parkway,,0,0,0,0,0,0,,,,,,,,,,,,,,,3AL2,,,,32.639392,-85.4023,Ground pad east side of hospital.,TREES 120 FT NORTH; TREES 115 FT EAST; POWER LINES 215 FT EAST; LGT POLES 130 FT WEST.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Dale Medical Center,1,Ozark,AL,36360,Hospital,11/30/2013 22:29,11/30/2013 22:29,2864,126 Hospital Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL87,,,,31.450908,-85.632231,Ground pad SW side of hospital.,30' TREES 50-80' NNW OF PAD; 100' TOWER 175' NNW AND 25' BLDG 75' NNW.,,40x44,,Concrete,Yes,,Yes,0,0,,0,0,,
Perdido Beach VFD Heliport,1,Perdido Beach,AL,36530,Scene,11/30/2013 22:33,11/30/2013 22:33,2865,8450 Escambia Ave,,0,0,0,0,0,0,,,,,,,,,,,,,,,50AL,,,,30.346881,-87.505747,Ground pad SE side of fire house.,Trees all sides of LZ. Buildings NW of pad,,100x100,,Asphalt,Yes,,,0,0,,0,0,,
Randolph County Hospital,1,Roanoke,AL,36274,Scene,11/30/2013 22:44,11/30/2013 22:44,2866,59928 Alabama 22,,0,0,0,0,0,0,,,,,,,,,,,,,,,2AL2,,,,33.157253,-85.389114,Ground pad south side of old hospital building.,Buildings north and west. Power lines west of pad. Trees east and south.,,50x50,,Concrete,Yes,,,0,0,,0,0,,Hospital closed in 2011. Airport south of hospital as alternate
Highlands Medical Center-Jackson County Hospital,1,Scottsboro,AL,,Hospital,11/30/2013 22:47,11/30/2013 22:47,2867,,,0,0,0,0,0,0,,,,,,,,,,,,,,,03AL,,,,34.662581,-86.046772,Circular ground pad NE side of hospital.,Power lines and light poles east of pad. Buildings south of pad and trees north.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Vaughan Regional Medical Center,1,Selma,AL,36701,Hospital,11/30/2013 23:16,11/30/2013 23:16,2868,1015 Medical Center Parkway,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL90,,,,32.428667,-87.057008,Ground pad SW side of hospital.,Buildings north and east. Trees SE and west of pad. Light poles north in parking lot.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Community Hospital,1,Tallassee,AL,36078,Hospital,11/30/2013 23:19,12/12/2013 13:12,2869,805 Friendship Rd,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL83,,,,32.533453,-85.911711,Ground pad SE side of hospital. Hospital west side of town.,"50&#039; TREES 150&#039; SE-SW AND 170&#039; ANTENNA (LGTD) 200&#039; NW OF PAD.		 Buildings west and NW of pad.",,20x20,,Concrete,Yes,,Yes,0,0,,0,0,,
Southwest Alabama Medical Center,1,Thomasville,AL,36784,Hospital,11/30/2013 23:25,3/2/2017 23:27,2870,33700 HWY 43,,0,0,0,0,0,0,,,,,,,,,,,,,,AL48,AL48,,,,31.930667,-87.737661,Ground pad SW side of hospital. Closed Hospital.,Buildings all sides of pad. Power lines west of pad.,,60x60,,Concrete,Yes,,Yes,0,0,,0,0,,
DCH Regional Medical Center,1,Tuscaloosa,AL,,Hospital,11/30/2013 23:32,11/30/2013 23:36,2871,809 University Blvd,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL26,,,,33.205922,-87.526353,Ground pad north side of hospital.,Trees north and east of pad. Power lines north along roadway. Buildings south.,,50x50,,Concrete,Yes,,Yes,0,0,,0,0,,
Geo H Lanier Memorial Hospital,1,Valley,AL,36854,Hospital,11/30/2013 23:40,11/30/2013 23:40,2872,4800 48TH ST,,0,0,0,0,0,0,,,,,,,,,,,,,,,AL07,,,,32.829525,-85.168711,Ground pad located north of the hospital off campus.,Power lines west of pad. Trees north and west of pad. Buildings and light poles south of pad.,,30x30,,Concrete,Yes,,Yes,0,0,,0,0,,
Air Evac 15,1,Vinemont,AL,35179,Airport,11/8/2014 16:10,11/19/2014 20:01,4446,191 County Road 1360,KCMD: Cullman Regional Airport,0,0,0,0,0,0,(256) 739-8535,,,,,,,,,,,,,,,,,,34.270183,-86.859883,,,,,,,,,,1,0,,0,0,,North end of CMD airfield&#044; hangar &#039;A&#039;.  Adjacent to flight crew is Air Evac SE Regional Maintenance Office in hangar &#039;B&#039; as well as regional parts supply.
Air Evac 16,1,Tuscumbia,AL,,Helicopter Base,11/8/2014 16:10,11/8/2014 16:10,4447,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,34.67171667,-87.6328,,,,,,,,,,0,0,,0,0,,
Air Evac 32,1,Scottsboro,AL,,Helicopter Base,11/8/2014 16:10,11/8/2014 16:10,4463,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,34.66035,-86.04926667,,,,,,,,,,0,0,,0,0,,
Air Evac 45,1,Fayette,AL,35555,Helicopter Base,11/8/2014 16:10,11/26/2014 0:58,4504,108 21 Street NE,,0,0,0,0,0,0,,,,,,,,,,,,,,,none,,,,33.71395,-87.816667,Air Evac parking pad for Air Evac 45 helicopter,Airfield wind sock just east of the pad.  Air Evac Fuel tank just northeast of pad.  Air Evac hangar just north of pad.  Culvert south&#044; west&#044; and east of pad.,Approach to airfield and hover in from southeast or east.,,,Unpainted concrete,at airfield,approximately same a,green,0,0,M95,0,0,Airfield,Pad is a parking pad for Air Evac 45 Helicopter at M95 Airfield.  General Aviation parking ramp is approximately 100 feet northeast of Air Evac 45&#039;s parking pad.  The general aviation ramp has self-serve Jet-A and Avgas.  The airfield has several GPS Instrument Approaches.  The Fayette Medical Center Helipad is approximately a 1/2 mile southwest of Air Evac&#039;s pad.
Air Evac 64,1,Elmore,AL,,Helicopter Base,11/8/2014 16:11,11/8/2014 16:11,4523,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,32.53071667,-86.32783333,,,,,,,,,,0,0,,0,0,,
Mobile Regional Airport,0,Mobile,AL,,Airport,2/15/2015 9:43,2/15/2015 9:43,5341,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30.693328,-88.241016,,,,,,,,,,0,0,,0,0,,
Mobile 1000,x,Mobile,AL,,Oil/Gas Rig,2/15/2015 9:44,2/15/2015 9:44,5342,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30,-88.108333,,,,,,,,,,0,0,,0,0,,
Stringfellow Memorial,0,Anniston,AL,,Hospital,11/20/2015 8:21,11/20/2015 8:27,6061,301 E 18th St&#044; Anniston&#044; AL 36207,,0,0,0,0,0,0,(256) 235-8900,,,,,,,,,,,,,,,,,,33.668283,-85.821717,Hospital uses football field as LZ,,,,,,,,,0,0,,0,0,,
Cherokee Medical Center,1,Centre,AL,,Hospital,11/20/2015 12:34,11/20/2015 12:34,6063,400 Northwood Dr,,0,0,0,0,0,0,(256) 927-5531,,,,,,,,,,,,,,,,,,34.161083,-85.650317,,,,,,,,,,0,0,,0,0,,
AMC Carraway Base,1,Birmingham,AL,35234,Helicopter Base,11/20/2015 18:32,3/8/2019 21:01,6065,1599 Walnut Hill Cir,,0,0,0,0,0,0,,,,,,,,,,,,,,,,BHM TWR 119.9,BHM ATIS 119.4,,33.535859,-86.811721,2 Miles W of KBHM.  Class C Airspace.  2 pads with hangar.,wires & poles S&#044; E & N.  Abandoned multistory hospital E.,,50&#039; Diam,,Concrete,Yes,674,Yes,1,0,,0,0,,Refuel is OOS on the North pad. Park between pads closer to South pad to use that hose
Riverview Regional Medical Center,1,Gadsden,AL,35901,Hospital,11/20/2015 18:55,11/20/2015 18:55,6066,600 S 3rd St,,0,0,0,0,0,0,(256) 543-5200,,,,,,,,,,,,,,,,,,34.008641,-86.001076,Blue & White pad in a parking lot adjacent to the river 500 yards NNE of the hospital.,,,30x30,,asphalt,,530,,0,0,,0,0,,
AE 112 Cleburne PELA 2A - Heflin LZ,1,Heflin,AL,,Scene,11/20/2015 19:08,3/5/2017 9:45,6067,Tompkins St,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,33.625504,-85.596744,Pad in front of medical office,Poles and wires along street and driveway. Arcon Helipad.  Across the street from McDonalds,,40x40,,asphalt,no,933,,0,0,,0,0,,
Wedowee Hospital LZ,1,Wedowee,AL,,Hospital,11/20/2015 19:48,3/22/2017 5:48,6068,1030 S Main St,,0,0,0,0,0,0,(256) 357-2111,,,,,,,,,,,,,4AL1,,,,,33.294648,-85.480488,Red concrete pad on the SW corner of the clinic.,Wires along the road. Parking lot lights.,,30x30,,Concrete,Yes,972,Yes,0,0,,0,0,,"Pad is located at Tanner Primary Care Clinic, Wedowee, AL. Offsite LZ at the Tanner Primary Care Clinic"
DHS,x,Henegar,AL,,Scene,2/14/2017 14:05,2/14/2017 14:05,7118,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3438,-8546.1,Henagar School,None,,,,,,,,0,0,,0,0,,
Ider Rescue Squad,x,Ider,AL,,Scene,2/14/2017 14:08,2/14/2017 14:09,7119,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3442.23,-8540.38,Next to a burial ground across from the Rescue Squad Building.   Windsock is at the grass helipad,wires along the road and set of pine trees to the north.,any direction available,,,,,,,0,0,,0,0,Ider Rescue Squad,
