Data Source1,F11,Latitude,Longitude
FAA,11229,42.52085,-88.576766667
FAA,11228,44.126980556,-87.615355556
FAA,11227,45.450037889,-89.581805611
FAA,11226,43.984688889,-90.515830556
FAA,11225,43.266394722,-87.965922222
FAA,11224,44.833869444,-87.353983333
FAA,11223,45.825713889,-91.894775
FAA,11222,43.945063889,-90.814241667
FAA,11221,45.741666667,-91.926944444
FAA,11220,43.761883333,-87.746641667
FAA,11219,43.771944444,-87.710277778
FAA,11218,44.784430556,-88.617852778
FAA,11217,44.865080556,-92.60235
FAA,11216,43.833694444,-88.818916667
FAA,11215,43.338688889,-90.382063889
FAA,11214,45.514591667,-91.735386111
FAA,11213,43.550063889,-89.992172222
FAA,11212,42.730963889,-87.827838889
FAA,11211,42.708353056,-87.791741111
FAA,11210,43.020852778,-91.111316667
FAA,11209,44.088036111,-88.925391667
FAA,11208,43.255308333,-87.926227778
FAA,11207,43.744444444,-87.967777778
FAA,11206,42.563611111,-87.923611111
FAA,11205,44.577513889,-91.211611111
FAA,11204,44.013969444,-88.599658333
FAA,11203,45.319963889,-92.687707222
FAA,11202,44.865380556,-88.128663889
FAA,11201,43.066944444,-88.467222222
FAA,11200,45.117752778,-92.554186111
FAA,11199,45.199132,-92.573872
FAA,11198,45.136944444,-92.376666667
FAA,11197,44.186228528,-88.454512806
FAA,11196,42.711388889,-87.883888889
FAA,11195,43.060963889,-87.880536111
FAA,11194,43.060833333,-87.880833333
FAA,11193,42.988903611,-87.951473889
FAA,11192,43.255305556,-87.926219444
FAA,11191,44.883788889,-91.900897222
FAA,11190,43.164208333,-88.139266667
FAA,11189,45.136588889,-90.355697222
FAA,11188,43.782333889,-90.075821667
FAA,11187,44.676151944,-90.17732625
FAA,11186,45.068472222,-87.647472222
FAA,11185,44.095366667,-87.675538889
FAA,11184,43.076172222,-89.431705556
FAA,11183,43.059186111,-89.402372222
FAA,11182,43.065869444,-89.402277778
FAA,11181,43.126661389,-89.340950556
FAA,11180,42.843638889,-90.708416667
FAA,11179,45.454411111,-91.110577778
FAA,11178,43.804091667,-91.239811111
FAA,11177,43.792330556,-91.2459
FAA,11176,44.449998333,-87.510917222
FAA,11175,42.578631389,-87.819518333
FAA,11174,42.570241667,-88.045611111
FAA,11173,42.570847222,-87.936172222
FAA,11172,44.269154167,-88.269828056
FAA,11171,43.395551389,-88.640935833
FAA,11170,42.669869444,-88.976380556
FAA,11169,42.620011944,-89.027888333
FAA,11168,42.688727778,-89.033236111
FAA,11167,44.506772222,-89.134863889
FAA,11166,44.962444444,-92.717833333
FAA,11165,43.648777778,-90.345877778
FAA,11164,42.962515,-87.975085278
FAA,11163,44.501381111,-88.0114925
FAA,11162,44.532508333,-88.065652778
FAA,11161,44.471433333,-87.994819444
FAA,11160,45.774138889,-92.686283333
FAA,11159,42.815130556,-89.062413889
FAA,11158,42.93205,-88.8282
FAA,11157,42.661291667,-88.497852778
FAA,11156,42.840216667,-89.079127778
FAA,11155,44.794325,-91.509458333
FAA,11154,44.813666667,-91.512
FAA,11153,44.621076389,-91.96267
FAA,11152,45.312463333,-92.589091111
FAA,11151,43.005208333,-88.470747222
FAA,11150,42.951883333,-90.128533333
FAA,11149,42.684257639,-90.109715694
FAA,11148,43.322536111,-89.034236111
FAA,11147,44.949386111,-91.360536111
FAA,11146,42.648905556,-88.186752778
FAA,11145,42.672530556,-88.281516667
FAA,11144,43.181119722,-87.963421111
FAA,11143,43.133541667,-90.707102778
FAA,11142,45.102455556,-91.501444444
FAA,11141,44.303780556,-90.855544444
FAA,11140,42.548555556,-89.006888889
FAA,11139,43.448936111,-88.826688889
FAA,11138,45.397036111,-91.839791667
FAA,11137,43.480780556,-89.731125
FAA,11136,46.567832778,-90.89041
FAA,11135,44.247369444,-91.496705556
FAA,11134,44.279,-88.393091
FAA,11133,45.14255,-89.1388
FAA,11132,46.594063889,-120.546638889
FAA,11131,46.669419167,-120.455966389
FAA,11130,46.596191667,-120.52225
FAA,11129,46.609014444,-120.614235278
FAA,11128,47.762320556,-122.156792222
FAA,11127,47.784166667,-122.141944444
FAA,11126,47.707874444,-122.524024444
FAA,11125,46.2331775,-121.1345175
FAA,11124,45.722230556,-121.471472222
FAA,11123,47.407188889,-120.32125
FAA,11122,45.567896667,-122.319258056
FAA,11121,46.05595,-118.329522222
FAA,11120,46.061383333,-118.342147222
FAA,11119,47.412876667,-122.370680278
FAA,11118,45.62305,-122.579888889
FAA,11117,45.623044444,-122.579905556
FAA,11116,45.668172222,-122.643708333
FAA,11115,45.720202778,-122.64955
FAA,11114,46.974819167,-122.900138056
FAA,11113,47.439266389,-122.247621667
FAA,11112,47.522598889,-122.304568333
FAA,11111,47.24455,-122.447455556
FAA,11110,47.259675,-122.451975
FAA,11109,47.261666667,-122.436388889
FAA,11108,48.987147222,-122.287736111
FAA,11107,47.196207778,-122.662629444
FAA,11106,47.8681575,-121.752896944
FAA,11105,47.649127778,-117.413077778
FAA,11104,47.758785556,-117.154651944
FAA,11103,47.686284722,-117.197983889
FAA,11102,47.651638889,-117.424322222
FAA,11101,47.709458333,-117.406641667
FAA,11100,47.601333333,-117.23575
FAA,11099,46.663154722,-123.812106111
FAA,11098,47.699816111,-122.703762778
FAA,11097,47.226588889,-123.113983333
FAA,11096,48.585833333,-122.921111111
FAA,11095,48.088416667,-123.110897222
FAA,11094,48.045583333,-122.879555556
FAA,11093,46.675555556,-120.506388889
FAA,11092,48.591455556,-122.2592
FAA,11091,47.621486944,-122.342348889
FAA,11090,47.608153889,-122.331793333
FAA,11089,47.584542778,-122.326236944
FAA,11088,47.652320278,-122.322904722
FAA,11087,47.621666667,-122.344722222
FAA,11086,47.602813889,-122.324683333
FAA,11085,47.6581,-122.298380556
FAA,11084,47.619820278,-122.3606825
FAA,11083,47.662616667,-122.283719444
FAA,11082,47.619569444,-122.348711111
FAA,11081,47.536765278,-122.31318
FAA,11080,47.606764722,-122.3337375
FAA,11079,47.121222222,-118.371641667
FAA,11078,46.4643025,-119.341130833
FAA,11077,46.281647222,-119.2823
FAA,11076,46.358055556,-119.333611111
FAA,11075,48.652777778,-118.730983333
FAA,11074,47.441797222,-122.214552778
FAA,11073,47.518177778,-122.210908333
FAA,11072,47.495933056,-122.200676389
FAA,11071,47.647043889,-122.087344167
FAA,11070,47.688888889,-122.1375
FAA,11069,47.685376667,-122.135678333
FAA,11068,47.674266111,-122.073733333
FAA,11067,47.682043333,-122.148456389
FAA,11066,47.230511111,-119.867663889
FAA,11065,47.178616667,-122.289925
FAA,11064,47.0826,-122.346507778
FAA,11063,48.109833333,-122.792888889
FAA,11062,47.972222222,-122.696666667
FAA,11061,48.115486111,-123.413341667
FAA,11060,48.110646944,-123.323793889
FAA,11059,48.096756389,-123.482686944
FAA,11058,46.375,-119.205555556
FAA,11057,46.2518025,-118.878888889
FAA,11056,46.829822222,-119.155016667
FAA,11055,48.397244444,-119.547763889
FAA,11054,47.052080556,-122.847361111
FAA,11053,46.963986111,-122.891552778
FAA,11052,47.1492625,-122.870139167
FAA,11051,47.043111111,-122.950988889
FAA,11050,47.331463889,-118.682294444
FAA,11049,48.258333333,-122.666666667
FAA,11048,48.182163889,-117.049280556
FAA,11047,47.776944444,-117.083888889
FAA,11046,48.671863889,-121.252333333
FAA,11045,48.370452778,-124.598119444
FAA,11044,46.549828056,-122.851230556
FAA,11043,48.379288889,-122.288488889
FAA,11042,47.128163889,-119.265438889
FAA,11041,48.918531389,-117.416356944
FAA,11040,48.981313333,-117.357468056
FAA,11039,47.573152778,-117.704025
FAA,11038,47.056163889,-123.259686111
FAA,11037,48.042038889,-122.225691667
FAA,11036,47.982916667,-122.037644444
FAA,11035,48.524933333,-122.912388889
FAA,11034,46.130375,-122.940216667
FAA,11033,48.038666667,-122.061166667
FAA,11032,47.716111111,-122.180166667
FAA,11031,47.515158333,-121.826036111
FAA,11030,47.414544444,-122.230399167
FAA,11029,47.418710833,-122.260955
FAA,11028,46.19935,-119.120230556
FAA,11027,46.569029444,-118.536929444
FAA,11026,47.537266667,-122.060616667
FAA,11025,47.560100278,-122.080398333
FAA,11024,46.311847222,-124.042297222
FAA,11023,47.144933333,-121.636236111
FAA,11022,47.9419,-119.007094444
FAA,11021,47.06,-122.293888889
FAA,11020,47.331208056,-122.601519167
FAA,11019,47.352216667,-122.625130556
FAA,11018,47.336883333,-122.5795
FAA,11017,47.109833333,-122.557166667
FAA,11016,47.946461111,-124.394186111
FAA,11015,47.931206667,-122.264856944
FAA,11014,47.975777778,-122.217263889
FAA,11013,47.998333333,-122.246666667
FAA,11012,47.999594444,-122.205966667
FAA,11011,47.979540278,-122.186245556
FAA,11010,47.315033333,-119.547277778
FAA,11009,47.198888889,-121.988888889
FAA,11008,46.987655556,-120.537819444
FAA,11007,47.803707778,-122.334298056
FAA,11006,47.436238056,-120.279515
FAA,11005,48.714138889,-121.139944444
FAA,11004,48.264275833,-121.591792222
FAA,11003,48.253475,-121.608469444
FAA,11002,47.369166667,-122.069444444
FAA,11001,48.213088889,-122.685280556
FAA,11000,46.050943611,-122.301207778
FAA,10999,48.540816667,-117.891536111
FAA,10998,46.869491667,-117.376005556
FAA,10997,46.66127,-117.437960278
FAA,10996,46.401944444,-117.055555556
FAA,10995,46.426666667,-117.058055556
FAA,10994,48.278022222,-117.710019444
FAA,10993,46.711638889,-122.985705556
FAA,10992,47.512346111,-120.488691389
FAA,10991,45.649839167,-122.201200556
FAA,10990,47.653305556,-122.924972222
FAA,10989,43.554843056,-122.681721667
FAA,10988,48.953386111,-122.817986111
FAA,10987,48.975555556,-122.721388889
FAA,10986,47.333989722,-122.023725833
FAA,10985,48.774575,-122.473930556
FAA,10984,48.852222222,-122.330277778
FAA,10983,47.621563889,-122.187730556
FAA,10982,47.625230556,-122.1704
FAA,10981,47.630376944,-122.176234167
FAA,10980,47.643294444,-122.521508333
FAA,10979,47.298155556,-122.297899444
FAA,10978,47.332883333,-122.222816667
FAA,10977,47.313989167,-122.258453889
FAA,10976,47.302322222,-122.15095
FAA,10975,47.294266944,-122.244564167
FAA,10974,48.153327778,-122.233919444
FAA,10973,48.19,-122.101388889
FAA,10972,48.502691667,-122.614655556
FAA,10971,46.979891667,-123.847030556
FAA,10970,43.470905,-72.403701944
FAA,10969,44.170888056,-73.246788889
FAA,10968,43.298466667,-72.494588889
FAA,10967,44.058938889,-73.019483333
FAA,10966,43.659789444,-72.992885278
FAA,10965,43.597119722,-72.953793944
FAA,10964,43.917194444,-72.665972222
FAA,10963,44.956036111,-72.199527778
FAA,10962,44.600116667,-73.16505
FAA,10961,43.653883333,-72.7885
FAA,10960,44.446359722,-72.010503
FAA,10959,45.013333333,-73.086666667
FAA,10958,44.776993611,-71.751481389
FAA,10957,44.481716667,-73.096515278
FAA,10956,44.913935,-72.805134444
FAA,10955,44.473336111,-73.18875
FAA,10954,44.473336111,-73.1888
FAA,10953,42.988969167,-72.628147222
FAA,10952,42.843897222,-72.567033333
FAA,10951,44.001455278,-72.123145833
FAA,10950,42.873564861,-73.207228028
FAA,10949,44.219369444,-72.560408333
FAA,10948,18.319955,-64.922088611
FAA,10947,17.708866667,-64.796549167
FAA,10946,18.345787778,-64.904031944
FAA,10945,18.338567222,-64.939312222
FAA,10944,37.2679225,-76.573286111
FAA,10943,37.173886111,-76.474997222
FAA,10942,36.954894444,-81.097847222
FAA,10941,38.871388889,-78.513333333
FAA,10940,36.806788333,-76.738013056
FAA,10939,39.195433333,-78.192
FAA,10938,37.335427778,-76.740655556
FAA,10937,37.250294444,-76.668888889
FAA,10936,37.644183333,-76.395183333
FAA,10935,37.64865,-76.387566667
FAA,10934,37.647533333,-76.432983333
FAA,10933,38.712958333,-77.809730556
FAA,10932,36.750983056,-76.058265278
FAA,10931,36.866861111,-76.023577778
FAA,10930,36.77635,-76.099513889
FAA,10929,36.793205,-75.964650833
FAA,10928,36.831316667,-76.066033333
FAA,10927,38.873445,-77.254148889
FAA,10926,37.901836111,-76.876961111
FAA,10925,37.071552778,-76.874463889
FAA,10924,36.863183333,-76.450338889
FAA,10923,38.414444444,-77.407222222
FAA,10922,36.745291667,-78.101336111
FAA,10921,36.751347222,-78.104769444
FAA,10920,36.718275,-78.909063889
FAA,10919,38.519568056,-77.573597778
FAA,10918,36.961166667,-76.634444444
FAA,10917,37.307883333,-80.100066667
FAA,10916,37.263230556,-80.029438889
FAA,10915,37.763195833,-78.978913333
FAA,10914,36.993316667,-79.890002778
FAA,10913,37.364857222,-79.900595
FAA,10912,37.251094444,-79.942836111
FAA,10911,37.252122222,-79.949497222
FAA,10910,37.561388889,-77.462222222
FAA,10909,37.539736111,-77.4294
FAA,10908,37.5824,-77.5136
FAA,10907,37.547916667,-77.4304
FAA,10906,37.496091667,-77.462313889
FAA,10905,37.654580556,-77.582213889
FAA,10904,37.648756389,-77.584987778
FAA,10903,37.603091667,-77.541469444
FAA,10902,37.611722222,-77.646333333
FAA,10901,37.423611111,-77.450555556
FAA,10900,37.514752778,-77.527380556
FAA,10899,37.094872222,-81.818786111
FAA,10898,38.962688889,-77.36375
FAA,10897,39.012333333,-77.332
FAA,10896,37.184848889,-80.525611111
FAA,10895,37.087961111,-80.505972222
FAA,10894,39.045872222,-77.708266667
FAA,10893,36.829702778,-76.298344444
FAA,10892,37.182166667,-77.360722222
FAA,10891,37.322191667,-80.723122222
FAA,10890,37.333875,-80.712647222
FAA,10889,37.6962975,-75.7231775
FAA,10888,36.933561111,-82.642752778
FAA,10887,36.944272222,-82.624561111
FAA,10886,36.942043611,-82.643768333
FAA,10885,36.861688889,-76.304802778
FAA,10884,36.851216667,-76.191541667
FAA,10883,36.925147222,-76.304386111
FAA,10882,37.2140325,-76.453559444
FAA,10881,37.064941667,-76.483830556
FAA,10880,36.999869722,-76.424669722
FAA,10879,37.14365,-76.510836111
FAA,10878,37.887733333,-78.861933333
FAA,10877,38.045693333,-77.781381111
FAA,10876,36.699830556,-79.866216667
FAA,10875,38.937055,-77.819161111
FAA,10874,37.250188889,-77.821216667
FAA,10873,38.760833333,-77.629722222
FAA,10872,38.766047222,-77.487958333
FAA,10871,38.753726667,-77.497489167
FAA,10870,38.7598375,-77.506378333
FAA,10869,37.417364167,-79.172524722
FAA,10868,38.6625,-78.467777778
FAA,10867,37.792638889,-79.880919444
FAA,10866,37.756807778,-78.895855556
FAA,10865,37.779352778,-79.441166667
FAA,10864,39.074347222,-77.479105556
FAA,10863,39.170277778,-77.519166667
FAA,10862,36.898255556,-82.078483333
FAA,10861,38.952888333,-77.152479167
FAA,10860,37.701858333,-76.387894444
FAA,10859,37.103753611,-79.301134722
FAA,10858,37.993369444,-79.831855556
FAA,10857,37.287370833,-77.271088333
FAA,10856,37.295704167,-77.271088333
FAA,10855,38.819958333,-77.641252778
FAA,10854,38.405330556,-78.854041667
FAA,10853,38.48429,-78.867804444
FAA,10852,37.115958333,-79.717991667
FAA,10851,37.063111111,-76.416388889
FAA,10850,37.056508333,-76.389186111
FAA,10849,37.296616667,-82.128841667
FAA,10848,37.419783333,-76.542908333
FAA,10847,38.216616667,-77.49555
FAA,10846,36.693063889,-76.937
FAA,10845,36.714444444,-76.826666667
FAA,10844,37.016666667,-76.3
FAA,10843,37.241816389,-77.343035556
FAA,10842,37.254663889,-77.327163889
FAA,10841,38.706630556,-77.144944444
FAA,10840,38.150131667,-77.366370278
FAA,10839,38.095583333,-78.986733333
FAA,10838,37.301880139,-78.402938944
FAA,10837,38.857056389,-77.226370833
FAA,10836,38.884452778,-77.378725
FAA,10835,38.853168056,-77.373041667
FAA,10834,38.823890556,-77.283041944
FAA,10833,36.702636111,-77.53695
FAA,10832,36.774441667,-76.581094444
FAA,10831,36.711206389,-82.800717222
FAA,10830,37.069444444,-80.649444444
FAA,10829,37.537205556,-78.477880556
FAA,10828,36.565222222,-79.204444444
FAA,10827,36.585672222,-79.408947222
FAA,10826,36.584444444,-79.431388889
FAA,10825,38.454616667,-78.01435
FAA,10824,38.040693611,-78.756131944
FAA,10823,39.371666667,-78.288611111
FAA,10822,37.305704722,-77.394426389
FAA,10821,36.959825,-82.470151389
FAA,10820,37.086819972,-80.506251111
FAA,10819,36.589722222,-76.270277778
FAA,10818,36.795981389,-76.237993889
FAA,10817,36.745511111,-76.247872222
FAA,10816,36.788759167,-76.226326667
FAA,10815,37.273611111,-75.971944444
FAA,10814,38.031111111,-78.498333333
FAA,10813,37.940141111,-78.5086225
FAA,10812,37.309859444,-76.015766944
FAA,10811,36.645941667,-82.110685833
FAA,10810,36.612050278,-82.188744444
FAA,10809,36.586894444,-82.257080556
FAA,10808,39.06331,-77.890033611
FAA,10807,37.188661111,-80.408677778
FAA,10806,36.876530556,-82.754597222
FAA,10805,36.855652222,-82.759605
FAA,10804,37.3527,-79.517577778
FAA,10803,38.940277778,-77.541111111
FAA,10802,38.944397222,-77.542205556
FAA,10801,37.3604225,-78.868903889
FAA,10800,38.740355556,-77.076230556
FAA,10799,38.822369444,-77.104266667
FAA,10798,40.699088889,-111.990666667
FAA,10797,40.590583333,-111.975922222
FAA,10796,41.164377778,-111.972191667
FAA,10795,40.458325,-109.532438889
FAA,10794,37.698333333,-112.1825
FAA,10793,41.724494444,-112.183683333
FAA,10792,37.234704722,-113.277448056
FAA,10791,40.551666667,-112.293888889
FAA,10790,40.526105556,-112.295444444
FAA,10789,40.501055,-112.3438375
FAA,10788,40.317445556,-112.308558889
FAA,10787,40.568333333,-112.297222222
FAA,10786,40.583722222,-112.383027778
FAA,10785,37.098908333,-113.552663889
FAA,10784,40.688333333,-111.892222222
FAA,10783,40.577916667,-111.854058333
FAA,10782,40.776880278,-111.886919167
FAA,10781,40.68615,-111.856233333
FAA,10780,40.767511111,-111.861819444
FAA,10779,40.725566667,-111.933952778
FAA,10778,40.771034361,-111.839077722
FAA,10777,40.771961111,-111.838275
FAA,10776,40.778191667,-111.879463889
FAA,10775,40.724668333,-111.976327778
FAA,10774,40.763333333,-111.89
FAA,10773,40.305047222,-109.996286111
FAA,10772,40.520019444,-111.981616667
FAA,10771,40.248891667,-111.663661111
FAA,10770,39.606297222,-110.833322222
FAA,10769,40.044291667,-111.715397222
FAA,10768,40.687838889,-111.470633333
FAA,10767,40.312933333,-111.714466667
FAA,10766,40.311666667,-111.665555556
FAA,10765,41.182933333,-111.955033333
FAA,10764,40.858278333,-111.934661111
FAA,10763,40.66025,-111.889527778
FAA,10762,38.584704167,-109.567339444
FAA,10761,38.542204722,-109.5187275
FAA,10760,38.48163,-109.43582
FAA,10759,38.600259444,-109.573450833
FAA,10758,41.755277778,-111.820769444
FAA,10757,41.755224028,-111.820633417
FAA,10756,41.77475,-111.821586111
FAA,10755,39.672997222,-112.354819444
FAA,10754,39.726355556,-112.305530556
FAA,10753,40.424722222,-111.880277778
FAA,10752,41.091830556,-111.995930556
FAA,10751,37.054166667,-112.530277778
FAA,10750,37.173555556,-113.345611111
FAA,10749,37.172777778,-113.434444444
FAA,10748,40.410833333,-111.511
FAA,10747,40.49055,-111.405575
FAA,10746,40.517448611,-111.888823333
FAA,10745,40.535730556,-111.890113889
FAA,10744,37.316648056,-113.31745
FAA,10743,37.687476667,-113.085504444
