ID,Visual Check,Facility name,Latitude,Longitude
VNVRH,1,NORTHEASTERN VERMONT REGIONAL HOSPITAL,44.44589977,-72.00779768
HLAND,1,INLAND HOSPITAL,44.54216667,-69.66116667
HBAW,1,(blank),42.33630159,-71.10562706
1ME2,1,MAINE GENERAL MEDICAL CENTER-WATERVILLE,44.5662167,-69.64785
HBETH,1,BETH ISREAL ,42.33747127,-71.1078886
35ME,,Matinicus Island,43.8714333,-68.8935556
NCARY,,NORTHEAST CARRY (MOOSEHEAD LAKE),45.87366667,-69.628
HMCMH,1,MAINE COAST MEMORIAL HOSPITAL,44.54743152,-68.41651235
NCWAY,,MEMORIAL HOSPITAL,44.06091789,-71.13702067
HMERCY,,MERCY HOSPITAL,43.64533333,-70.306
IFREY,,FREY (SEBAGO LAKE),43.83321568,-70.51871608
HMGH,1,0MA1,42.36370038,-71.06917033
IMETN,,METINIC,43.88262539,-69.12295699
B21,,Carrabassett,45.0854389,-70.2164208
IROQU,,ROQUE,44.58091152,-67.50225811
FORKS,,The Forks,45.33783333,-69.9675
HCARY,,CARY MEDICAL CENTER,46.87297205,-68.01638291
HMIDC,,MID-COAST HOSPITAL,43.90166667,-69.88833333
HCLBK,1,UPPER CONNECTICUT VALLEY  COLEBROOK FIRE DEPARTMENT,44.90415187,-71.48144895
HBHMH,,BLUE HILL MEMORIAL HOSPITAL,44.4125,-68.586
HYORK,,YORK HOSPITAL,43.14,-70.6505
NCATH,,CATHOLIC MEDICAL CENTER ,42.993,-71.47083333
IALLN,,ALLEN (OUTWARD BOUND),43.87499106,-69.31065754
HBMC,1,(blank),42.335,-71.07166667
IFREN,,FRENCHBORO,44.11638594,-68.35194935
HMILE,,MILES MEMORIAL HOSPITAL,44.02666667,-69.53016667
NH57,1,EXETER HOSPITAL,42.98234417,-70.93633395
HMLRH,1,MILLINOCKET REGIONAL HOSPITAL,45.65216667,-68.717
NHCHH,,CHESHIRE HOSPITAL,42.94616667,-72.29316667
HMMC,1,MAINE MEDICAL CENTER,43.653,-70.275
NHFRH,1,FRANKLIN REGIONAL HOSPITAL,43.44740415,-71.64567315
HNEMC,1,(blank),42.34819934,-71.06414115
NHLRG,1,LAKES REGION HOSPITAL     LACONIA,43.528,-71.464
HPARK,1,PARKVIEW HOSPITAL,43.89616667,-69.96783333
NHPAR,,PARKLAND HOSPITAL   DERRY FIRE DEPARTMENT,42.87531366,-71.31790834
HPVH,,PENOBSCOT VALLEY HOSPITAL,45.3473742,-68.51767434
NHWDH,1,WENTWORTH DOUGLAS HOSPITAL,43.21398437,-70.87382246
HRMC,1,RUTLAND REGIONAL MEDICAL CENTER,43.59686378,-72.95521881
NSPER,,SPEARE MEMORIAL HOSPITAL PLYMOUTH NH FIRE DEPARTMENT,43.7571605,-71.69398846
HSBVH,1,SEBASTICOOK VALLEY HOSPITAL,44.78983334,-69.37016667
RKWUD,,"ROCKWOOD LZ  (ROCKWOOD, ME)",45.67717851,-69.73741688
HSMMC,1,SOUTHERN MAINE MEDICAL CENTER,43.47779436,-70.49246492
VCVH,1,CENTRAL VERMONT HOSPITAL,44.21998073,-72.56038094
HTAMC,,AROOSTOOK MEDICAL CENTER,46.67716667,-67.99866666
VNCH,1,NORTH COUNTRY HOSPITAL,44.95633333,-72.2
HTOGS,1,TOGUS VA HOSPITAL,44.27533333,-69.70483333
HWCGH,1,WALDO COUNTY GENERAL HOSPITAL,44.41333333,-68.994
HWEEK,1,WEEKS MEMORIAL HOSPITAL,44.4858887,-71.55519417
